"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12039",12039,"MATH&141","B122","2.8",2.8,"B123","",3.08,20,20,90,NA,"43",NA,"",NA,2686
"12040",12040,"MATH072","B014","3.8",3.8,"B123","",2.75,18,18,90,NA,"43",NA,"",NA,2686
"12041",12041,"MATH097","B121","3.8",3.8,"B123","",3.8,10,10,90,NA,"43",NA,"",NA,2686
"12042",12042,"MATH062","B012","2.5",2.5,"B014","",2.73,15,15,88,39,"18",NA,"",NA,989
"12043",12043,"MATH070","B013","2",2,"B014","",1.25,15,5,88,39,"18",NA,"",NA,989
"12044",12044,"MATH&141","B231","W",NA,"B341","7/12/2012",0,5,0,87,NA,"65",NA,"",385,8659
"12045",12045,"MATH070","B012","3.7",3.7,"B341","",2.73,15,15,87,NA,"65",NA,"",385,8659
"12046",12046,"MATH072","B013","W",NA,"B341","2/23/2011",1.65,15,5,87,NA,"65",NA,"",385,8659
"12047",12047,"MATH097","B124","2.8",2.8,"B341","",2.8,5,5,87,NA,"65",NA,"",385,8659
"12048",12048,"MATH072","B012","2.5",2.5,"B124","",3.17,15,15,89,NA,"29",NA,"",NA,5744
"12049",12049,"MATH097","B013","W",NA,"B124","2/17/2011",3,15,10,89,NA,"29",NA,"",NA,5744
"12050",12050,"MATH097","B014","0.9",0.9,"B124","",2.17,12,12,89,NA,"29",NA,"",NA,5744
"12051",12051,"MATH097","B123","3.1",3.1,"B124","",3.44,16,16,89,NA,"29",NA,"",NA,5744
"12052",12052,"MATH072","B012","2.5",2.5,"B234","",2.36,12,7,96,NA,"30",NA,"",NA,9779
"12053",12053,"MATH097","B013","0",0,"B234","",0,13,0,96,NA,"30",NA,"",NA,9779
"12054",12054,"MATH&141","B012","3",3,"B124","",3.37,15,15,89,NA,"59",NA,"",NA,9237
"12055",12055,"MATH&141","B012","2",2,"B344","",2.88,12,12,89,NA,"78",51,"",NA,11650
"12056",12056,"MATH&142","B013","2",2,"B344","",2.74,18,18,89,NA,"78",51,"",NA,11650
"12057",12057,"MATH&151","B232","3.1",3.1,"B344","",3.5,15,15,89,NA,"78",51,"",NA,11650
"12058",12058,"MATH062","B341","3.1",3.1,"B344","",2.8,10,10,49,45,"19",NA,"",NA,11660
"12059",12059,"MATH072","B342","4",4,"B344","",3.8,15,15,94,90,"25",NA,"",NA,3193
"12060",12060,"MATH097","B342","4",4,"B344","",3.8,15,15,94,90,"25",NA,"",NA,3193
"12061",12061,"MATH&141","B123","2.6",2.6,"B341","",1.73,15,10,99,NA,"",NA,"",NA,5776
